|6.6.6
project/EH70/EH70_1.tab                                                                             
           1
P(bar)  
   6.9506480690741720E-310
   6.9506480690741720E-310
  1027803201
          15
P(bar)         T(K)           rho,kg/m3      O,vo%          Wad,vo%        Ring,vo%       Pv,vo%         Wus,vo%        Cpx,vo%        Opx,vo%        Aki,vo%        Gt_maj,vo%     v0,km/s        vp,km/s        vs,km/s       
  31800.0        1178.25        3441.66                 NaN            NaN            NaN            NaN            NaN   29.4393        56.3368                 NaN   7.66336        5.84535        7.72734        4.37695     
  31920.0        1181.30        3441.70                 NaN            NaN            NaN            NaN            NaN   29.4373        56.3500                 NaN   7.65256        5.84540        7.72679        4.37617     
  32040.0        1184.35        3442.86                 NaN            NaN            NaN            NaN            NaN   29.3495        56.0155                 NaN   8.07302        5.85049        7.73156        4.37740     
  32160.0        1187.40        3442.19                 NaN            NaN            NaN            NaN            NaN   29.4599        56.1739                 NaN   7.80600        5.84762        7.72770        4.37515     
  32280.0        1190.45        3442.42                 NaN            NaN            NaN            NaN            NaN   29.5935        55.9798                 NaN   7.86638        5.84878        7.72842        4.37495     
  32400.0        1193.50        3441.88                 NaN            NaN            NaN            NaN            NaN   29.4151        56.3960                 NaN   7.63002        5.84583        7.72464        4.37289     
  32520.0        1196.55        3441.92                 NaN            NaN            NaN            NaN            NaN   29.4481        56.3780                 NaN   7.61538        5.84592        7.72416        4.37217     
  32640.0        1199.60        3442.41                 NaN            NaN            NaN            NaN            NaN   29.6553        56.0109                 NaN   7.77478        5.84838        7.72630        4.37254     
  32760.0        1202.65        3442.44                 NaN            NaN            NaN            NaN            NaN   29.6914        55.9908                 NaN   7.75912        5.84845        7.72581        4.37182     
  32880.0        1205.70        3442.12                 NaN            NaN            NaN            NaN            NaN   29.5742        56.2550                 NaN   7.61316        5.84665        7.72337        4.37039     
  33000.0        1208.75        3442.16                 NaN            NaN            NaN            NaN            NaN   29.6065        56.2382                 NaN   7.59806        5.84672        7.72288        4.36968     
  33120.0        1211.80        3442.08                 NaN            NaN            NaN            NaN            NaN   29.6343        56.2665                 NaN   7.54254        5.84629        7.72185        4.36875     
  33240.0        1214.85        3442.23                 NaN            NaN            NaN            NaN            NaN   29.6773        56.1949                 NaN   7.57116        5.84692        7.72196        4.36826     
