|6.6.6
project/DW/DW_1.tab                                                                                 
           1
P(bar)  
   6.9127692053006575E-310
   6.9127692053006575E-310
 -1144756159
          15
P(bar)         T(K)           rho,kg/m3      O,vo%          Wad,vo%        Ring,vo%       Pv,vo%         Wus,vo%        Cpx,vo%        Opx,vo%        Aki,vo%        Gt_maj,vo%     v0,km/s        vp,km/s        vs,km/s       
  26880.0        1053.20        3601.54        23.1840                 NaN            NaN            NaN            NaN   13.0086        45.9773                 NaN   17.8301        5.86920        7.70284        4.32026     
  27000.0        1056.25        3601.59        23.1843                 NaN            NaN            NaN            NaN   13.0087        45.9765                 NaN   17.8305        5.86928        7.70244        4.31965     
  27120.0        1059.30        3601.64        23.1846                 NaN            NaN            NaN            NaN   13.0088        45.9757                 NaN   17.8309        5.86936        7.70205        4.31904     
  27240.0        1062.35        3601.69        23.1850                 NaN            NaN            NaN            NaN   13.0088        45.9749                 NaN   17.8313        5.86944        7.70165        4.31843     
  27360.0        1065.40        3601.75        23.1853                 NaN            NaN            NaN            NaN   13.0089        45.9741                 NaN   17.8317        5.86953        7.70126        4.31782     
  27480.0        1068.45        3601.80        23.1856                 NaN            NaN            NaN            NaN   13.0090        45.9734                 NaN   17.8321        5.86961        7.70086        4.31720     
  27600.0        1071.50        3601.85        23.1859                 NaN            NaN            NaN            NaN   13.0090        45.9726                 NaN   17.8325        5.86969        7.70047        4.31659     
  27720.0        1074.55        3601.90        23.1862                 NaN            NaN            NaN            NaN   13.0091        45.9718                 NaN   17.8329        5.86977        7.70007        4.31598     
  27840.0        1077.60        3601.95        23.1865                 NaN            NaN            NaN            NaN   13.0092        45.9710                 NaN   17.8333        5.86985        7.69968        4.31537     
  27960.0        1080.65        3601.33        23.1833                 NaN            NaN            NaN            NaN   12.9604        46.0486                 NaN   17.8077        5.86987        7.69801        4.31313     
  28080.0        1083.70        3601.38        23.1836                 NaN            NaN            NaN            NaN   12.9605        46.0478                 NaN   17.8081        5.86995        7.69762        4.31252     
  28200.0        1086.75        3601.43        23.1839                 NaN            NaN            NaN            NaN   12.9606        46.0470                 NaN   17.8085        5.87003        7.69723        4.31190     
  28320.0        1089.80        3602.07        23.1909                 NaN            NaN            NaN            NaN   13.3659        45.6136                 NaN   17.8296        5.87116        7.69867        4.31269     
  28440.0        1092.85        3602.12        23.1912                 NaN            NaN            NaN            NaN   13.3660        45.6128                 NaN   17.8300        5.87124        7.69828        4.31208     
  28560.0        1095.90        3602.17        23.1915                 NaN            NaN            NaN            NaN   13.3661        45.6120                 NaN   17.8305        5.87132        7.69788        4.31146     
  28680.0        1098.95        3602.22        23.1918                 NaN            NaN            NaN            NaN   13.3661        45.6112                 NaN   17.8309        5.87140        7.69748        4.31085     
  28800.0        1102.00        3602.28        23.1921                 NaN            NaN            NaN            NaN   13.3662        45.6104                 NaN   17.8313        5.87148        7.69709        4.31024     
  28920.0        1105.05        3602.33        23.1924                 NaN            NaN            NaN            NaN   13.3663        45.6096                 NaN   17.8317        5.87157        7.69669        4.30962     
  29040.0        1108.10        3602.38        23.1928                 NaN            NaN            NaN            NaN   13.3663        45.6088                 NaN   17.8321        5.87164        7.69629        4.30901     
